protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,web_traffic,domain_registration_length,dns_record,age_of_domain,statistical_report
http,email.m-aut.ru,dhl/autodhl/dhl/deliveryform.php,1,0,0,1,0,0,0,0,1,1,1,1,1
http,nabagejec1893.blogspot.com,,0,0,0,0,0,0,1,0,1,1,1,1,0
https,fj1gh.app.link,w7m5S2lYn5,0,0,0,0,0,0,0,0,1,0,0,0,0
http,osdwatracor.qsite.dk,122946/Apply%20For%20A%20Payday%20Loan%20Online%20:%20Where%20Can%20I%20Get%20A%20Payday%20Loan%20Online%20:%20Cash%20Loan%20Lenders,1,0,0,0,0,0,0,0,1,1,0,0,1
https,www.secureupdate.appleld.com.duilawyeryork.com,ap/65e7c3ac382597a?cmd=_update&dispatch=65e7c3ac382597a26&locale=_US,1,0,0,0,1,0,0,0,1,0,0,0,1
http,atelierba.com,data/log/?,0,0,0,0,0,0,0,0,1,1,0,0,0
http,rapidpaws.com,wp-content/we_transfer/index2.php?email=/,1,0,0,0,0,0,0,0,1,0,0,0,0
http,husolicitors.com.au,administration/update2018/indexgmail.htm,1,0,0,0,0,0,0,0,1,1,0,1,0
http,email302.com,l/5fc15ea15e66c082e33c48babd5a8ff601a799e6/[email%20protected]tageapp.com/-/www.paypal.com/cgi-bin,1,0,0,0,0,0,0,0,1,1,0,0,0
http,actiie844.coffeecup.com,forms/info..w/,0,0,0,0,0,0,0,0,1,0,0,0,0
https,www.citieid.com,kenya,0,0,0,0,0,0,0,0,1,1,1,1,1
http,www.sandwichmill.net,img/htaccess/secured/,0,0,0,0,0,0,0,0,1,0,0,0,0
http,bit.ly,2yxMsXE,0,0,0,0,0,0,1,0,1,1,0,0,0
https,y9o5m.codesandbox.io,onedrive.html,0,0,0,0,0,0,0,0,1,0,0,0,0
http,148.204.63.249,users/sign_in,0,0,0,0,0,1,0,0,1,1,0,0,0
https,netorgft1432979-my.sharepoint.com,:b:/g/personal/swilliams_friedwilliams_com/ERpxMECzDBJKmIMe8nSSroEBW6BNsXY_ZTQIJWH9RDLMwA?e=cKqOOF,1,0,0,1,0,0,1,0,1,0,0,0,0
https,contarv.creatorlink.net,,0,0,0,0,0,0,0,0,1,0,0,0,0
http,steamcomnunitu.vov.ru,,0,0,0,0,0,0,0,0,1,0,0,0,0
http,support-appleld.com.secureupdate.duilawyeryork.com,ap/eefedbee30747ef,1,0,0,1,1,0,0,0,1,0,0,0,1
http,user67509874097802.el.r.appspot.com,ver.html,0,0,0,0,1,0,1,0,1,1,1,1,0
http,www.fitch.tv,templates/system/shahedata.php,0,0,0,0,0,0,0,0,1,0,0,0,0
https,ecb9547832.nxcli.net,images/alibaba/cmd-login=2fa960a1990a231b18bfe6368da9c911/copyright.php,1,0,0,0,0,0,0,0,1,0,0,0,1
http,pccc114.vn,wp-admin/images/aaaaa/kokoro/kokoro/password.html,1,0,0,0,0,0,0,0,1,1,0,1,0
http,www.openspace9915.com,ave/office/a8f393621f61442943b4f24c.php?cmd=login_submit&id=5c338005236c10c12da8541d3b1bd6ef5c338005236c10c12da8541d3b1bd6ef&session=5c338005236c10c12da8541d3b1bd6ef5c338005236c10c12da8541d3b1bd6ef,1,0,0,0,0,0,0,0,1,1,1,1,1
http,vilanovacenter.com,templates/yoo_bigeasy/janetyolo,1,0,0,0,0,0,0,0,1,1,0,0,0
http,fbproject4df3409fkl342ef043.el.r.appspot.com,wp-content,1,0,0,0,1,0,1,0,1,1,1,1,0
http,kiancar.lh.pl,wp-includes/verification/index.php,1,0,0,0,0,0,0,0,1,0,0,1,0
http,nsp.vipshop.ru,,0,0,0,0,0,0,0,0,1,1,0,0,0
